FECHA_SEGUIMIENTO,count
99999,35567
2023-03-21 00:00:00,259
2022-06-17 00:00:00,245
2023-03-22 00:00:00,213
2023-03-24 00:00:00,212
2022-06-15 00:00:00,204
2023-03-23 00:00:00,200
2022-04-28 00:00:00,191
2022-06-14 00:00:00,180
2022-04-27 00:00:00,180
2022-02-24 00:00:00,179
2022-08-11 00:00:00,172
2022-06-16 00:00:00,168
2022-04-29 00:00:00,165
2022-06-13 00:00:00,163
2023-01-30 00:00:00,160
2023-03-25 00:00:00,158
2022-08-12 00:00:00,156
2022-02-25 00:00:00,155
2022-04-25 00:00:00,155
