Fecha_intervencion,count
2023-12-06,252
2022-05-06,252
2023-12-05,251
2023-12-04,238
2021-07-08,230
2023-12-07,221
2023-12-11,221
2023-04-11,208
2021-03-17,207
2024-03-04,205
2023-08-09,204
2024-10-02,203
2022-06-23,203
2023-03-30,202
2024-10-03,202
2022-06-22,201
2022-09-16,201
2022-05-05,199
2023-03-29,199
2022-10-11,197
