IEC.3,count
99999,54545
5,764
6,470
7,321
2,76
9,68
1 | 2,65
5 | 7,39
6 | 7,30
1,26
1 | 2 | 6,25
5 | 6 | 7,17
5 | 8,7
10,5
5 | 6,4
7 | 9,4
2 | 6,2
3 | 6 | 7,1
5 | 7 | 8,1
1 | 2 | 6 | 10,1
